id,domain
106206,www.westminster.edu
155445,www.lincoln.edu
14394,www.american.edu
217283,www.com.edu
93736,gallaudet.edu
228226,www.usuhs.edu
35175,www.ucmerced.edu
113936,www.pointpark.edu
83893,www.kutztown.edu
62242,www.mc3.edu
170060,www.passhe.edu
207595,www.lasu.edu.ng
125492,www.skidmore.edu
157787,www.nichols.edu
16065,www.uvm.edu
68825,uncg.edu
120558,simmons.edu
116499,qu.edu
156616,www.iup.edu
222063,lmunet.edu
65601,www.quinnipiac.edu
144548,www.gordon.edu
9505,www.uconn.edu
29540,www.mass.edu
152353,www.camdencc.edu
78170,www.fairfield.edu
94097,www.lemoyne.edu
103521,www.ulvr.edu.ec
148652,www.berry.edu
49734,www.chaffey.edu
105213,www.ung.edu
135730,www.delmar.edu
161165,www.academiaexitus.edu.pe
9305,www.sc.edu
125406,www.reynolds.edu
195903,www.lycoming.edu
109947,www.plymouth.edu
20396,artic.edu
69123,www.musc.edu
173618,www.colegioebenezer.edu.co
9556,www.uic.edu
54970,www.indwes.edu
115892,www.atlm.edu
171352,bju.edu
132200,www.koi.edu.au
180144,www.morton.edu
8579,www.ohio-state.edu
69255,www.etsu.edu
200988,www.depauw.edu
116546,www.sbu.edu
97934,www.collegeforcreativestudies.edu
84614,www.sunysuffolk.edu
2627,www.illinois.edu
184230,www.cetcolsubsidio.edu.co
105615,www.uiuc.edu
61111,www.uis.edu
114733,www.mainemaritime.edu
121074,www.queens.edu
177115,www.clcillinois.edu
157490,www.hgtc.edu
12609,www.uga.edu
33231,www.cod.edu
145662,www.einstein.edu
223997,www.osumc.edu
194102,esu.edu
26620,www.niu.edu
85407,www.midwestern.edu
121771,www.pic.edu.pk
115387,www.eksu.edu.ng
186068,www.colegiocreando.edu.do
53917,www.usi.edu
163980,www.southern.edu
179013,www.fvtc.edu
72678,lynn.edu
15451,fordham.edu
104950,www.imsa.edu
104718,www.uwf.edu
10642,www.wayne.edu
36748,www.nova.edu
133667,www.naropa.edu
232412,www.siumed.edu
143903,umflint.edu
79742,www.daytonastate.edu
120784,www.tjc.edu
13638,rice.edu
60530,www.augusta.edu
202345,www.asds.edu.co
85700,www.iris.edu
200593,www.istpargentina.edu.pe
203489,www.ws.edu
29620,www.macomb.edu
49453,www.uthsc.edu
9808,elearning.edu.sa
33066,www.umsl.edu
20503,www.smu.edu
54165,centralmethodist.edu
153834,www.iccms.edu
94909,www.fsw.edu
170326,www.roanestate.edu
219939,www.grayson.edu
101973,www.truman.edu
17709,www.stcloudstate.edu
36940,trustees.ufl.edu
100285,www.uaex.edu
94066,www.georgiasouthern.edu
40013,www.uark.edu
86106,www.actx.edu
151199,www.landivarinspira.edu.gt
168463,www.briarcliff.edu
8840,usf.edu
152777,www.itep.edu.pe
30554,www.uwi.edu
2404,wisc.edu
202623,www.usergioarboleda.edu.co
173126,www.wiregrass.edu
76645,www.washburn.edu
