id,domain,rtt
2264,e-derslik.edu.az,672.986476
2404,wisc.edu,2452.568697
2514,asu.edu,423.097578
2540,ucla.edu,2451.045605
2627,illinois.edu,2248.666187
2898,virtual.edu.az,1054.788493
2969,ufl.edu,2430.695716
3039,szu.edu.cn,2024.460380
3218,istanbul.edu.tr,3501.093315
3367,uci.edu,2243.167817
3452,washington.edu,1855.712870
3690,anadolu.edu.tr,1833.796637
3757,ksu.edu.sa,2032.454270
4130,tamu.edu,2622.612647
4219,minnstate.edu,1830.500951
4269,cuhk.edu.hk,945.707616
4701,uw.edu,1831.401086
5266,unsw.edu.au,1787.856459
5341,arizona.edu,2641.799467
5562,uopeople.edu,442.178055
6108,brookings.edu,3675.663906
6370,valenciacollege.edu,2241.850445
6775,fiu.edu,1819.660858
6927,laccd.edu,4074.966097
7988,uitm.edu.my,716.440834
8130,rmit.edu.au,4197.221630
8191,aiou.edu.pk,2034.907491
8840,usf.edu,1987.472819
9305,sc.edu,3060.449045
9376,miami.edu,2077.207537
9505,uconn.edu,2606.072654
9556,uic.edu,2523.690828
10642,wayne.edu,3182.314799
11130,ccc.edu,5311.700770
11531,oiu.edu.sd,2045.632705
11894,nap.edu,5308.153018
12354,utdallas.edu,714.616101
12500,open.edu,1843.310947
12609,uga.edu,1810.039367
13638,rice.edu,1662.856672
13861,cccd.edu,2242.256426
13898,uillinois.edu,2440.065915
14944,brown.edu,1944.317763
14975,fael.edu.br,1554.357688
16065,uvm.edu,2651.487254
16480,taibahu.edu.sa,3573.173716
17027,chdtu.edu.ua,663.537540
17105,byui.edu,2319.229704
18384,lsu.edu,2287.732208
18946,gcu.edu,2038.146343
19658,ifma.edu.br,1122.348219
19674,ien.edu.sa,2251.563864
20395,mtsu.edu,2867.235926
20396,artic.edu,3256.995679
20503,smu.edu,2853.409842
20525,marmara.edu.tr,2643.283783
20706,montana.edu,2242.081648
20753,nau.edu,2048.224898
20857,uncc.edu,2713.576943
21858,saddleback.edu,2241.292479
22323,tafensw.edu.au,3250.268578
22966,ucsc.edu,1754.894318
23980,csulb.edu,1351.830999
25205,utep.edu,2392.027764
25695,selcuk.edu.tr,1854.261106
26401,kku.edu.sa,1537.214414
26620,niu.edu,1837.699028
26968,utdt.edu,422.763570
27014,uqu.edu.sa,976.219732
27158,uwa.edu.au,335.886311
27463,bakimektebleri.edu.az,626.783155
28007,babson.edu,2426.296930
28186,palmbeachstate.edu,2132.798307
29620,macomb.edu,1767.935932
30275,tcu.edu,2240.548983
30554,uwi.edu,4899.574731
30620,ku.edu,2070.909610
30970,iium.edu.my,464.760144
31001,hofstra.edu,3394.447687
32089,unf.edu,2348.600800
32340,uvu.edu,2472.997282
33066,umsl.edu,2491.517228
33231,cod.edu,3266.399688
33583,ucv.edu.pe,2856.223359
34778,scu.edu,371.875508
35096,umt.edu.pk,781.979595
35441,esan.edu.pe,3182.824780
35529,uj.edu.sa,2240.277623
35534,slcc.edu,2846.230093
35862,arabou.edu.kw,2639.515143
36748,nova.edu,3469.891469
37770,dcccd.edu,2050.027331
38522,wvm.edu,1733.776243
38524,riphah.edu.pk,2095.775489
38753,utsouthwestern.edu,2717.920492
38997,knutd.edu.ua,744.164118
39916,pnu.edu.sa,2242.810038
40013,uark.edu,2445.393868
40318,butte.edu,2042.195697
41831,uotechnology.edu.iq,519.594310
42048,eduvision.edu.pk,803.907369
42702,miracosta.edu,2236.148810
43554,educause.edu,469.520534
43563,heartbeat.education,354.170037
43749,llu.edu,1769.336002
45964,umary.edu,775.100011
46513,orangecoastcollege.edu,3246.625582
46593,bond.edu.au,1551.256687
46725,bdu.edu.et,1831.400984
46742,bahria.edu.pk,2064.455851
47455,csusm.edu,2445.659621
48058,aydin.edu.tr,535.438660
48069,unomaha.edu,2123.152452
48074,uksw.edu,2014.648211
48533,yufl.edu.mm,548.366440
48917,ucanr.edu,1631.220520
48968,uhv.edu,1304.396958
49304,mesacc.edu,1680.825982
49370,sjcny.edu,1130.011852
49453,uthsc.edu,1705.603690
49734,chaffey.edu,1526.218256
50578,futa.edu.ng,407.654057
50603,dlsu.edu.ph,635.138748
50881,apu.edu,1772.087257
50901,comsats.edu.pk,4076.670750
52320,uncw.edu,2680.768334
52406,apeejay.edu,614.565405
53387,endicott.edu,2865.083919
53462,greenriver.edu,1856.700870
53466,waketech.edu,576.546690
53592,louisiana.edu,2242.341443
53734,utesa.edu,1194.949732
53914,snow.edu,4904.680651
53917,usi.edu,2233.020052
53948,aub.edu.lb,2436.978746
53991,iau.edu.sa,2261.998879
54165,centralmethodist.edu,2556.433171
54405,quantic.edu,563.282524
